tipo_sujeto,clave,nombre,web_oficial,ejercicio,obligacion,articulo,exigencia,descripcion,estado,url,nota,fecha_consulta
partido,psoe,PSOE,https://www.psoe.es,2024,balance,14.Ocho,obligatoria,Balance del ejercicio publicado en la web del partido,publicado,https://www.psoe.es/media-content/2025/07/2024EstadosFinancieros.pdf,"Balance de situacion a diciembre de 2024 con comparativa de 2023.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,cuenta_resultados,14.Ocho,obligatoria,Cuenta de resultados del ejercicio publicada en la web del partido,publicado,https://www.psoe.es/media-content/2025/07/2024EstadosFinancieros.pdf,"En el mismo documento que el balance.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,creditos_entidad,14.Ocho,obligatoria,Creditos pendientes de amortizacion con la entidad concedenteidentificada,publicado,https://www.psoe.es/media-content/2025/07/Deuda2024.pdf,"Columna Entidad concedente, una linea por prestamo.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,creditos_importe,14.Ocho,obligatoria,Importe otorgado de cada credito pendiente,publicado,https://www.psoe.es/media-content/2025/07/Deuda2024.pdf,"Columna Importe otorgado, mas Capital pendiente aparte.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,creditos_tipo_interes,14.Ocho,obligatoria,Tipo de interes de cada credito pendiente,publicado,https://www.psoe.es/media-content/2025/07/Deuda2024.pdf,"Columna Tipo de interes en cada linea.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,creditos_plazo,14.Ocho,obligatoria,Plazo de amortizacion de cada credito pendiente,publicado,https://www.psoe.es/media-content/2025/07/Deuda2024.pdf,"Columnas Fecha vencimiento y Periodo de amortizacion en anos.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,subvenciones,14.Ocho,obligatoria,Subvenciones recibidas,publicado,https://www.psoe.es/media-content/2025/07/2024-IngresosOrigen-Publico.pdf,"Desglose por concepto: funcionamiento, grupos institucionales, seguridad, otras y electorales.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,donaciones_25000,14.Ocho,obligatoria,Donaciones y legados de importe superior a 25.000 euros,no_verificable,https://www.psoe.es/media-content/2025/07/2024IngresosOrigenPrivado.pdf,"Publica el agregado de donaciones y legados, 133.500,07 euros, sin desglose por donacion. Desde fuera no se puede saber si alguna supero los 25.000 euros, y el partido no deja constancia de que no se produjeran.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,donaciones_identidad,14.Ocho,obligatoria,Identidad concreta del donante o legatario en cada donacion superior a 25.000 euros,no_verificable,https://www.psoe.es/media-content/2025/07/2024IngresosOrigenPrivado.pdf,"Ningun donante identificado. Depende de la fila anterior: si ninguna donacion supero los 25.000 euros, la obligacion no nace.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,informe_fiscalizacion,14.Nueve,obligatoria,Informe de fiscalizacion del Tribunal de Cuentas publicado en la web,publicado,https://www.psoe.es/transparencia/informacion-economica/fiscalizacion-por-el-tribunal-de-cuentas/,"Ultimo informe emitido por el Tribunal es el del ejercicio 2020. Publicado en tres partes con fecha 04/07/2024.",2026-09-15
partido,psoe,PSOE,https://www.psoe.es,2024,instrucciones_contratacion,DA 13.Dos,obligatoria,Instrucciones internas de contratacion publicadasen la web,publicado,https://www.psoe.es/media-content/2022/04/INSTRUCCIONES-CONTRATACION-PSOE-2022.pdf,"En vigor desde el 8 de abril de 2022.",2026-09-15
